name*city*height*weight*position*team
Moore, Derian*Houma, LA (H.L. Bourgeois HS / Nicholls State)*6-0*197*DB*lsu
Moore, Travez*Bastrop, LA (Bastrop HS / Copiah-Lincoln JC (MS))*6-4*250*DL*lsu
Moss, Thaddeus*Charleston, WV (Mallard Creek (NC) HS / North Carolina State)*6-4*247*TE*lsu
Murray, Jabari*Oakland, CA (Oakland Tech HS)*6-2*168*DB*lsu
Netherly, Mannie*Crosby, TX (Crosby HS)*6-3*185*DB*lsu
Norman, Corren*Broussard, LA (Lafayette HS)*5-9*191*RB*lsu
Palmer, Trey*Kentwood, LA (Kentwood HS)*6-1*180*WR*lsu
Parker, Ray*Ruston, LA (Ruston HS)*6-5*233*TE*lsu
Parrish, Peter*Phenix City, AL (Central-Phenix HS)*6-1*190*QB*lsu
Perry, Thomas*Lafayette, LA (Teurlings Catholic HS)*6-6*341*OL*lsu
Pettigrew, Jamal*New Orleans, LA (St. Augustine HS)*6-6*218*TE*lsu
Phillips, Jacob*Nashville, TN (East Nashville Magnet HS)*6-3*235*LB*lsu
Queen, Patrick*Livonia, LA (Livonia HS)*6-2*215*LB*lsu
Rosenthal, Dare*Ferriday, LA (Ferriday HS)*6-8*335*OL*lsu
Savage, Jakori*Bay Minette, AL (Baldwin County HS)*6-5*289*DL*lsu
Shelvin, Tyler*Lafayette, LA (Notre Dame HS)*6-2*380*DL*lsu
Skinner, Quentin*Buford, GA (Buford HS)*6-0*253*LS*lsu
Small, Jared*Baton Rouge, LA (Catholic HS)*5-11*199*LB*lsu
Smith, Carlton*Houston, TX (Lamar HS)*6-3*227*LB*lsu
Smith, Michael*Killeen, TX (Ellison HS)*6-2*290*OL*lsu
Stafford, Preston*Pontotoc, MS (Catholic HS)*6-0*187*K*lsu
Starks, Donte*Marrero, LA (John Ehret HS)*6-1*212*LB*lsu
Stevens, JaCoby*Murfreesboro, TN (Oakland HS)*6-2*214*DB*lsu
Stingley Jr., Derek*Baton Rouge, LA (Dunham HS)*6-1*195*DB*lsu
Sullivan, Stephen*Donaldsonville, LA (Donaldsonville HS)*6-6*228*TE*lsu
Thomas, Justin*Spanish Fort, AL (Spanish Fort HS)*6-5*264*DL*lsu
Thomas, Kardell*Baton Rouge, LA (Southern Lab HS)*6-3*329*OL*lsu
Thornton, Ray*Killeen, TX (Shoemaker HS)*6-3*222*LB*lsu
