name*city*height*weight*position*team
Mack, Austin*Fort Wayne, IN (Bishop Luers HS)*6-2*210*WR*/ohio-state
Malone, Derrick*Dayton, OH (Thurgood Marshall HS)*6-5*245*TE*/ohio-state
McCall, Demario*North Ridgeville, OH (North Ridgeville HS)*--*--*RB*/ohio-state
McCullough, Liam*Columbus, OH (Worthington Kilbourne HS)*6-2*210*LS*/ohio-state
McCullough, Roen*Columbus, OH (Worthington Kilbourne HS)*6-1*230*LS*/ohio-state
McFarquhar, Lloyd*Cleveland, OH (Brush HS)*5-9*170*DB*/ohio-state
McKenzie, Jaden*Wake Forest, NC (Wake Forest HS)*6-3*285*DL*/ohio-state
McMahon, Amari*Dublin, OH (Dublin Scioto HS)*6-0*205*RB*/ohio-state
Metzer, Jake*Doylestown, PA (Central Bucks West HS / Penn State)*6-2*220*P*/ohio-state
Miller, Harry*Buford, GA (Buford HS)*6-4*310*OL*/ohio-state
Mitchell, Teradja*Virginia Beach, VA (Bishop Sullivan HS)*6-2*236*LB*/ohio-state
Munford, Thayer*Cincinnati, OH (Massillon Washington HS)*6-6*325*OL*/ohio-state
Myers, Josh*Miamisburg, OH (Miamisburg HS)*6-5*305*OL*/ohio-state
Novick, Brett*Katonah, NY (John Jay HS)*6-1*275*DL*/ohio-state
O'Shaughnessy, Michael*New Albany, OH (New Albany HS)*6-4*200*P*/ohio-state
Okudah, Jeffrey*Grand Prairie, TX (South Grand Prairie HS)*6-1*193*DB*/ohio-state
Olave, Chris*San Marcos, CA (Mission Hills HS)*6-1*175*WR*/ohio-state
Pahl, Brandon*Cutler, OH (Warren HS)*6-2*295*OL*/ohio-state
Petit-Frere, Nicholas*Tampa, FL (Berkeley Prep HS)*6-5*288*OL*/ohio-state
Pope, K'Vaughan*Dinwiddie, VA (Dinwiddie HS)*6-1*226*LB*/ohio-state
Potter, Noah*Mentor, OH (Mentor HS)*6-6*252*DL*/ohio-state
Proctor, Josh*Owasso, OK (Owasso HS)*6-2*198*DB*/ohio-state
Pryor, Isaiah*Bradenton, FL (IMG Academy (FL))*6-2*195*DB*/ohio-state
Riep, Amir*Cincinnati, OH (Colerain HS)*5-11*183*DB*/ohio-state
Robinson, Bradley*Troy, MI (Athens HS / Michigan State)*6-2*228*LS*/ohio-state
Rossi, Mitch*Franklin, TN (Franklin HS)*6-1*235*RB*/ohio-state
Ruckert, Jeremy*Lindenhurst, NY (Lindenhurst HS)*6-5*240*TE*/ohio-state
Saunders, C.J.*Dublin, OH (Dublin Coffman HS)*--*--*WR*/ohio-state
Schmiesing, Ben*Piqua, OH (Piqua HS)*6-1*225*LB*/ohio-state
Shaw, Bryson*Potomac, MD (Bullis School)*6-2*175*DB*/ohio-state
Sinclair, Darryl*Solon, OH (Solon HS)*5-9*185*WR*/ohio-state
Smith, Ryan*Medina, OH (Buckeye HS)*6-3*270*OL*/ohio-state
Smith, Tyreke*Cleveland, OH (Cleveland Heights HS)*6-4*255*DL*/ohio-state
Stevenson, Zach*Lewis Center, OH (Olentangy Orange HS)*6-3*275*OL*/ohio-state
Stover, Cade*Mansfield, OH (Lexington HS)*6-4*225*LB*/ohio-state
Teague, Master*Murfreesboro, Tenn. (Blackman HS)*5-11*215*RB*/ohio-state
Thomas, Phillip*Louisville, OH (Louisville HS)*6-0*230*LS*/ohio-state
Togiai, Tommy*Pocatello, ID (Highland HS)*6-2*300*DL*/ohio-state
Vanatsky, Danny*Cincinnati, OH (Cincinnati Hills Christian HS)*6-1*205*QB*/ohio-state
Victor, Binjimen*Fort Lauderdale, FL (Coconut Creek HS)*--*--*WR*/ohio-state
Vimahi, Enokk*Kahuku, HI (Kahuku HS)*6-4*270*OL*/ohio-state
Vincent, Taron*Bradenton, FL (IMG Academy (FL))*6-2*288*DL*/ohio-state
Wade, Shaun*Jacksonville, FL (Trinity Christian Academy)*6-1*185*DB*/ohio-state
Werner, Pete*Indianapolis, IN (Cathedral HS)*6-3*215*LB*/ohio-state
White, Brendon*Powell, OH (Olentangy Liberty HS)*6-2*210*DB*/ohio-state
Wiglusz, Sam*Brecksville, OH (Brecksville-Broadview Heights HS)*5-11*185*WR*/ohio-state
Wilburn, Trayvon*Cincinnati, OH (Mount Healthy HS / Davenport)*5-11*220*LB*/ohio-state
Williams, Alex*Pickerington, OH (Pickerington North HS)*6-6*260*DL*/ohio-state
Williams, Jameson*St. Louis, MO (Cardinal Ritter HS)*6-2*170*WR*/ohio-state
Williamson, Marcus*Westerville, OH (IMG Academy (FL))*5-10*180*DB*/ohio-state
Wilson, Garrett*Austin, TX (Lake Travis HS)*6-0*188*WR*/ohio-state
Wint, Jahsen*Brooklyn, NY (Erasmus Hall Campus HS)*5-10*196*DB*/ohio-state
Woidke, Kevin*Cleveland, OH (St. Ignatius HS)*6-6*310*OL*/ohio-state
Wray, Max*Franklin, TN (Franklin HS)*6-7*305*OL*/ohio-state
Young, Chase*Upper Marlboro, MD (DeMatha Catholic HS)*6-5*240*DL*/ohio-state
Young, Craig*Fort Wayne, IN (Wayne HS)*6-4*200*ATH*/ohio-state
