name*city*height*weight*position*team
Neal, Evan*Okeechobee, FL (IMG Academy (FL))*6-7*360*OL*alabama
Owens, Christopher*Arlington, TX (Lamar HS)*6-3*307*OL*alabama
Parker, John*Huntsville, AL (Westminster Christian Academy)*6-0*187*WR*alabama
Parker, Michael*Huntsville, AL (Westminster Christian Academy)*6-6*224*TE*alabama
Parks, Jarez*Sebastian, FL (Sebastian River HS)*6-4*251*LB*alabama
Perine, Ty*Prattville, AL (Prattville HS)*6-1*190*K*alabama
Poellnitz, Eric*Mobile, AL (Mobile Christian HS)*5-11*170*WR*alabama
Powell, Daniel*Aliceville, AL (Pickens Academy)*5-11*238*TE*alabama
Pugh, Gabe*Tuscaloosa, AL (Northridge HS)*6-5*273*LS*alabama
Quick, Pierce*Trussville, AL (Hewitt-Trussville HS)*6-5*291*OL*alabama
Randolph, Kendall*Madison, AL (Bob Jones HS)*6-4*309*OL*alabama
Ray, LaBryan*Madison, AL (James Clemens HS)*6-5*272*DL*alabama
Reichard, Will*Hoover, AL (Hoover HS)*6-1*180*K*alabama
Robinson Jr., Brian*Tuscaloosa, AL (Hillcrest HS)*6-1*218*RB*alabama
Robinson, Joshua*Hoover, AL (Hoover HS)*5-9*180*DB*alabama
Robinson, Keilan*Washington, DC (St. John's College HS)*5-9*184*RB*alabama
Roby, Jackson*Huntsville, AL (Huntsville HS)*6-5*267*OL*alabama
Ruggs III, Henry*Montgomery, AL (Lee HS)*6-0*175*WR*alabama
Sanders, Trey*Bradenton, FL (IMG Academy)*6-0*214*RB*alabama
Shavers, Tyrell*Lewisville, TX (Lewisville HS)*6-6*209*WR*alabama
Smith, DeVonta*Amite, LA (Amite HS)*6-1*165*WR*alabama
Smith, Eddie*Slidell, LA (Salmen HS)*6-0*184*DB*alabama
Sopsher, Ishmael*Amite, LA (Amite HS)*6-4*334*DL*alabama
Surtain II, Patrick*Plantation, FL (American Heritage HS)*6-2*202*DB*alabama
Tagovailoa, Taulia*Alabaster, AL (Thompson HS)*5-11*208*QB*alabama
Tagovailoa, Tua*Ewa Beach, HI (St. Louis HS)*6-1*219*QB*alabama
Tennison, Major*Flint, TX (Bullard HS)*6-5*245*TE*alabama
Townsend, Chadarius*Tanner, AL (Tanner HS)*6-0*191*WR*alabama
Turnage, Brandon*Oxford, MS (Lafayette HS)*6-1*185*DB*alabama
Tyson, Paul*Trussville, AL (Hewitt-Trussville HS)*6-5*220*QB*alabama
Waddle, Jaylen*Bellaire, TX (Episcopal HS)*5-10*177*WR*alabama
Ware, Carson*Muscle Shoals, AL (Muscle Shoals HS)*6-1*190*DB*alabama
Watkins, Quindarius*Hinesville, GA (Bradwell Institute)*6-4*229*DL*alabama
Williams, Xavier*Hollywood, FL (Chaminade-Madonna Prep HS)*6-1*182*WR*alabama
Wills Jr., Jedrick*Lexington, KY (Lafayette HS)*6-5*314*OL*alabama
Wilson, Taylor*Huntington Beach, CA (Mater Dei HS)*6-0*276*DL*alabama
Womack, Matt*Hernando, MS (Magnolia Heights HS)*6-7*315*OL*alabama
Wright, Daniel*Fort Lauderdale, FL (Boyd Anderson HS)*6-1*185*DB*alabama
Wynn Jr., Stephon*Anderson, SC (IMG Academy (FL))*6-4*299*DL*alabama
Young, Byron*Laurel, MS (West Jones HS)*6-3*295*DL*alabama
