name*city*height*weight*position*team
Pinckney, Nyles*Beaufort, SC (Whale Branch Early College HS)*6-3*300*DL*clemson
Pollard, Sean*Jackson Springs, NC (Pinecrest HS)*6-5*295*OL*clemson
Potter, B.T.*Rock Hill, SC (South Pointe HS)*5-11*165*K*clemson
Powell, Cornell*Greenville, NC (J.H. Rose HS)*6-1*200*WR*clemson
Price, Luke*Dillon, SC (Dillon Christian School)*6-2*225*TE*clemson
Putnam, Will*Tampa, FL (Plant HS)*6-4*290*OL*clemson
Randolph, Klayton*Gaffney, SC (Gaffney HS)*6-2*230*DL*clemson
Rayburn, Hunter*Pensacola, FL (Pensacola HS)*6-4*310*OL*clemson
Reeves, Chandler*McDonough, GA (Eagle's Landing Christian HS)*6-6*270*OL*clemson
Rencher, Darien*Anderson, SC (T.L. Hanna HS)*5-9*195*RB*clemson
Reuben, Etinosa*Kansas City, MO (Park Hill South HS)*6-4*280*DL*clemson
Rodgers, Amari*Knoxville, TN (Knoxville Catholic HS)*5-10*195*WR*clemson
Ross, Justyn*Phenix City, AL (Central HS)*6-4*205*WR*clemson
Rudolph, Logan*Rock Hill, SC (Northwestern HS)*6-3*225*DL*clemson
Sawicki, Steven*Fayetteville, NC (Gray's Creek HS / North Carolina A&T)*6-3*240*P*clemson
Sease, Marquis*Swansea, SC (Swansea HS)*5-11*280*OL*clemson
Simmons, Isaiah*Olathe, KS (Olathe North HS)*6-4*215*LB*clemson
Simpson, John*North Charleston, SC (Fort Dorchester HS)*6-4*290*OL*clemson
Skalski, James*Sharpsburg, GA (Northgate HS)*6-2*225*LB*clemson
Smith, Chad*Sterling, VA (Dominion HS)*6-3*225*LB*clemson
Spector, Baylon*Calhoun, GA (Calhoun HS)*6-1*220*LB*clemson
Spector, Brannon*Calhoun, GA (Calhoun HS)*6-1*190*WR*clemson
Spiers, Will*Cameron, SC (Calhoun Academy)*6-5*220*P*clemson
Stewart, Cade*Six Mile, SC (Daniel HS)*6-4*310*OL*clemson
Swanson, Aidan*Tampa, FL (IMG Academy (FL))*6-3*170*P*clemson
Swinney, Drew*Clemson, SC (D.W. Daniel HS)*5-9*175*WR*clemson
Swinney, Will*Clemson, SC (D.W. Daniel HS)*5-9*180*WR*clemson
Terrell, A.J.*Atlanta, GA (Westlake HS)*6-2*180*DB*clemson
Thomas, Xavier*Florence, SC (IMG Academy (FL))*6-3*255*DL*clemson
Thornton III, Ray*Columbus, GA (Central Phenix City (AL) HS)*6-2*205*DB*clemson
