,city,admin_name,lat,lng,id,first_name,last_name,weight,height,jersey,year,position,home_country
71,Brandon,MS,32.2778,-89.9896,4426448,Jarrian,Jones,190.0,72.0,7.0,2.0,DB,USA
72,Pelham,AL,33.3114,-86.7573,4047628,Logan,Burnett,200.0,74.0,17.0,3.0,QB,USA
73,Nixa,MO,37.0459,-93.2953,3917283,Alec,Murphy,230.0,72.0,26.0,4.0,RB,USA
74,Fairhope,AL,30.522,-87.8816,4372402,Cole,Deeds,180.0,74.0,19.0,1.0,PK,USA
75,Greenwood,MS,33.5126,-90.1993,4035372,Marquiss,Spencer,300.0,76.0,42.0,4.0,DE,USA
76,Greenwood,MS,33.5126,-90.1993,4362907,Kwatrivous,Johnson,315.0,79.0,69.0,2.0,OL,USA
77,Ocean Springs,MS,30.4082,-88.7861,4242248,Austin,Williams,200.0,75.0,85.0,3.0,WR,USA
78,Albemarle,NC,35.3601,-80.1919,4242251,Lee,Autry,305.0,74.0,90.0,4.0,DT,USA
79,Norcross,GA,33.9379,-84.2065,3930093,Nathan,Swanson,230.0,77.0,39.0,4.0,LS,USA
80,Center Point,AL,33.6446,-86.6851,4427662,Brevyn,Jones,280.0,76.0,76.0,1.0,OL,USA
81,Clarksdale,MS,34.1971,-90.5729,4362900,Esaias,Furdge,185.0,71.0,27.0,2.0,CB,USA
82,Fairburn,GA,33.5496,-84.5914,4568074,Jordon,Hoyer,200.0,72.0,86.0,3.0,WR,USA
83,Yazoo City,MS,32.8618,-90.4067,3917289,Tim,Washington,240.0,75.0,41.0,4.0,LB,USA
84,River Ridge,LA,29.9593,-90.2202,4047617,Kody,Schexnayder,195.0,70.0,27.0,4.0,P,USA
85,Lindale,TX,32.4933,-95.4069,4259813,Jordan,Lawless,200.0,72.0,26.0,3.0,PK,USA
86,Destrehan,LA,29.9625,-90.3676,4430597,Quinton,Torbor,195.0,73.0,83.0,1.0,WR,USA
87,Brookhaven,MS,31.5803,-90.4432,3917288,Leo,Lewis,245.0,74.0,10.0,4.0,LB,USA
88,Grenada,MS,33.7816,-89.813,4242247,Tyre,Phillips,345.0,77.0,78.0,4.0,OL,USA
89,Indianola,MS,33.4492,-90.6447,4259824,Sherman,Timbs,270.0,74.0,34.0,3.0,DE,USA
90,St. Martin,MS,30.4399,-88.8651,4568073,Brandon,Cunningham,300.0,76.0,72.0,1.0,OL,USA
