,city,admin_name,lat,lng,id,first_name,last_name,weight,height,jersey,year,position,home_country
81,Solon,OH,41.3864,-81.4401,4047341,Gil,Barksdale,180.0,70.0,38.0,4.0,S,USA
82,North Augusta,SC,33.5214,-81.9547,3911536,Brandon,Maddox,290.0,75.0,56.0,4.0,DL,USA
83,Jenks,OK,35.9981,-95.9737,4035280,Austin,Quillen,195.0,71.0,22.0,3.0,S,USA
84,Darien,CT,41.0786,-73.4819,4372554,Mitchell,Pryor,211.0,73.0,25.0,3.0,RB,USA
85,Kapolei,HI,21.3403,-158.0665,4035268,Sean,McMoore,292.0,76.0,50.0,3.0,OL,USA
86,New Canaan,CT,41.1592,-73.4992,4577537,Wes,Farley,185.0,73.0,47.0,3.0,PK,USA
87,Middleton,WI,43.1064,-89.5058,4047344,Cody,Markel,250.0,77.0,45.0,4.0,TE,USA
88,Versailles,KY,38.0488,-84.726,4242664,Saige,Young,305.0,76.0,56.0,4.0,OL,USA
89,Norcross,GA,33.9379,-84.2065,3915772,Jared,Pinkney,260.0,76.0,80.0,4.0,TE,USA
90,Norcross,GA,33.9379,-84.2065,4035270,Devin,Cochran,320.0,79.0,,4.0,OL,USA
91,Powder Springs,GA,33.866,-84.6839,4567533,Keyon,Brooks,202.0,73.0,21.0,2.0,RB,USA
92,Glenn Dale,MD,38.9833,-76.804,4567543,Justin,Ball,230.0,78.0,84.0,1.0,TE,USA
93,Loveland,OH,39.2679,-84.2731,4372557,Michael,Warden,287.0,74.0,65.0,3.0,OL,USA
94,Loganville,GA,33.8353,-83.8957,4577535,Tre,Brown,205.0,70.0,43.0,2.0,LB,USA
95,Yorktown,IN,40.183,-85.5123,3915468,Riley,Neal,225.0,78.0,6.0,4.0,QB,USA
96,Smithfield,VA,36.9754,-76.6162,4242661,Chris,Pierce,225.0,76.0,19.0,4.0,WR,USA
97,Saline,MI,42.1737,-83.7782,4372553,Zach,Drevno,220.0,72.0,49.0,3.0,LS,USA
98,Chatham,NJ,40.7405,-74.3838,4362807,Allan,Walters,210.0,74.0,16.0,2.0,QB,USA
99,Hillsborough,NC,36.068,-79.0994,4242653,Stone,Edwards,270.0,77.0,99.0,2.0,DL,USA
100,Rumson,NJ,40.3626,-74.0046,4362798,Elijah,McAllister,258.0,78.0,41.0,2.0,LB,USA
101,Cumming,GA,34.2064,-84.1337,4362788,Ben,Bresnahan,245.0,76.0,86.0,2.0,TE,USA
102,Attalla,AL,34.0049,-86.104,4567531,Justin,Harris,190.0,73.0,11.0,1.0,S,USA
103,Andalusia,AL,31.3101,-86.4781,4362786,BJ,Anderson,184.0,73.0,16.0,2.0,CB,USA
104,Andalusia,AL,31.3101,-86.4781,4242655,Allan,George,185.0,73.0,28.0,3.0,CB,USA
105,Andalusia,AL,31.3101,-86.4781,4372551,Will,Clark,228.0,73.0,44.0,2.0,FB,USA
