,city,admin_name,lat,lng,id,first_name,last_name,weight,height,jersey,year,position,home_country
0,Dallas,TX,32.7936,-96.7662,4372000,John Stephen,Jones,199.0,71.0,9.0,1.0,QB,USA
1,Dallas,TX,32.7936,-96.7662,4567169,Cedric,Johnson,204.0,72.0,43.0,2.0,LB,USA
2,Dallas,TX,32.7936,-96.7662,4567158,Hudson,Clark,172.0,74.0,17.0,1.0,DB,USA
3,Houston,TX,29.7869,-95.3905,4047337,Rakeem,Boyd,215.0,72.0,5.0,4.0,RB,USA
4,Houston,TX,29.7869,-95.3905,4242881,Trelon,Smith,187.0,69.0,22.0,2.0,RB,USA
5,San Diego,CA,32.8312,-117.1225,4242154,Kamren,Curl,198.0,74.0,2.0,3.0,DB,USA
6,Austin,TX,30.3006,-97.7517,4372007,Nathan,Parodi,168.0,69.0,13.0,2.0,DB,USA
7,Austin,TX,30.3006,-97.7517,4393434,Peyton,Ausley,186.0,74.0,84.0,2.0,WR,USA
8,Austin,TX,30.3006,-97.7517,4567174,John,Oehrlein,220.0,73.0,53.0,1.0,LS,USA
9,Nashville,TN,36.1715,-86.7843,4567183,Brett,Nabors,182.0,75.0,80.0,1.0,WR,USA
10,Memphis,TN,35.1046,-89.9773,4567171,Eric,Gregory,270.0,76.0,50.0,1.0,DL,USA
11,Memphis,TN,35.1046,-89.9773,4567150,Shamar,Nash,209.0,75.0,4.0,1.0,WR,USA
12,Memphis,TN,35.1046,-89.9773,4242158,Chase,Hayden,205.0,70.0,2.0,3.0,RB,USA
13,Memphis,TN,35.1046,-89.9773,4372010,Ryan,Winkel,297.0,78.0,71.0,2.0,OL,USA
14,New Orleans,LA,30.0687,-89.9288,4371995,Joe,Foucha,201.0,71.0,7.0,3.0,DB,USA
15,New Orleans,LA,30.0687,-89.9288,4372006,Andrew,Parker,238.0,74.0,28.0,2.0,LB,USA
16,New Orleans,LA,30.0687,-89.9288,-1002099,Joe,Foucha,195.0,71.0,7.0,,DB,USA
17,New Orleans,LA,30.0687,-89.9288,4567159,Devin,Bush,208.0,72.0,23.0,1.0,DB,USA
18,Oklahoma City,OK,35.4676,-97.5137,4567154,Collin,Clay,296.0,75.0,93.0,2.0,DT,USA
19,Fort Worth,TX,32.7812,-97.3472,4567162,Jared,Sackett,180.0,73.0,29.0,3.0,PK,USA
20,El Paso,TX,31.8479,-106.4309,4567167,Karch,Gardiner,177.0,69.0,33.0,1.0,WR,USA
21,Tulsa,OK,36.1284,-95.9043,4567173,Ricky,Stromberg,298.0,76.0,51.0,2.0,OL,USA
22,Baton Rouge,LA,30.4419,-91.131,4567182,Dylan,Rathcke,281.0,77.0,79.0,1.0,OL,USA
23,Little Rock,AR,34.7255,-92.358,4567187,John David,White,171.0,71.0,86.0,1.0,WR,USA
24,Little Rock,AR,34.7255,-92.358,4372767,Luke,Jones,293.0,77.0,70.0,2.0,OL,USA
25,Little Rock,AR,34.7255,-92.358,4035576,T.J.,Hammonds,189.0,70.0,41.0,4.0,RB,USA
26,Little Rock,AR,34.7255,-92.358,4567176,Zach,Williams,236.0,76.0,56.0,2.0,DL,USA
27,Little Rock,AR,34.7255,-92.358,4242160,Hayden,Henry,229.0,74.0,27.0,4.0,LB,USA
