,city,admin_name,lat,lng,id,first_name,last_name,weight,height,jersey,year,position,home_country
79,Ozark,MO,37.0361,-93.2154,4569483,Trenton,Sederwall,290.0,77.0,65.0,1.0,OL,USA
80,Zachary,LA,30.6642,-91.1634,4035430,Lindsey,Scott Jr.,220.0,71.0,18.0,3.0,QB,USA
81,Lemont,IL,41.6697,-87.9828,4241218,Logan,Christopherson,255.0,78.0,88.0,3.0,TE,USA
82,Republic,MO,37.1453,-93.4446,4047311,Jerney,Jones,190.0,70.0,43.0,4.0,RB,USA
83,Lebanon,MO,37.6718,-92.6603,4381245,Cannon,York,235.0,75.0,96.0,2.0,DL,USA
84,Wauconda,IL,42.2748,-88.1359,4241211,Joe,Hoy,225.0,73.0,53.0,4.0,LB,USA
85,Marshall,MO,39.1145,-93.201,4430626,Jaylen,Varner,175.0,71.0,43.0,1.0,DB,USA
86,Webb City,MO,37.1412,-94.4676,4035112,Trystan,Colon-Castillo,315.0,76.0,55.0,3.0,OL,USA
87,Webb City,MO,37.1412,-94.4676,-1022253,Trystan,Colon-Castillo,315.0,76.0,55.0,,OL,USA
88,Manvel,TX,29.4793,-95.3658,4362749,Kam,Scott,170.0,74.0,13.0,2.0,WR,USA
89,Mission,KS,39.027,-94.6568,4035106,Dawson,Downing,220.0,72.0,28.0,4.0,RB,USA
90,Kearney,MO,39.355,-94.3594,4035109,Cale,Garrett,230.0,75.0,47.0,4.0,LB,USA
91,Kearney,MO,39.355,-94.3594,4381243,Jake,Hoffman,230.0,76.0,49.0,2.0,LS,USA
92,Forsyth,GA,33.0347,-83.938,4362758,Jatorian,Hansford,255.0,76.0,28.0,3.0,DL,USA
