,city,admin_name,lat,lng,id,first_name,last_name,weight,height,jersey,year,position,home_country
58,Summerville,SC,33.0016,-80.1795,4259482,Alex,DeLoach,212.0,75.0,59.0,2.0,LB,USA
59,Cedar Hill,TX,32.5809,-96.9592,4426508,Shilo,Sanders,195.0,72.0,21.0,1.0,DB,USA
60,Goose Creek,SC,32.9922,-80.0052,3121554,Caleb,Kinlaw,202.0,70.0,32.0,4.0,RB,USA
61,Greenwood,SC,34.1945,-82.1542,4362860,Will,Tommie,170.0,70.0,48.0,4.0,PK,USA
62,Tucker,GA,33.8436,-84.2021,4362862,Josh,Vann,195.0,70.0,6.0,3.0,WR,USA
63,Tucker,GA,33.8436,-84.2021,4362863,Dylan,Wonnum,310.0,77.0,79.0,3.0,OL,USA
64,Monroe,NC,35.0061,-80.5593,4429979,Traevon,Kenion,240.0,75.0,12.0,1.0,TE,USA
65,Winter Park,FL,28.5987,-81.3438,4426566,Jaquaze,Sorrells,314.0,74.0,91.0,1.0,DL,USA
66,Opelika,AL,32.6621,-85.3772,4038809,Jake,Bentley,220.0,76.0,8.0,4.0,QB,USA
67,Lawrenceville,GA,33.9525,-83.9928,4038840,Kobe,Smith,300.0,74.0,95.0,4.0,DL,USA
68,Waycross,GA,31.2108,-82.3579,4362851,Ernest,Jones,230.0,74.0,53.0,3.0,LB,USA
69,Conway,SC,33.8403,-79.0422,4038818,Bryan,Edwards,215.0,75.0,89.0,4.0,WR,USA
70,North Augusta,SC,33.5214,-81.9547,3924351,Michael,Almond,223.0,75.0,85.0,4.0,PK,USA
71,Simpsonville,SC,34.7291,-82.2572,4389868,Trey,Adkins,175.0,71.0,35.0,2.0,WR,USA
72,Lexington,SC,33.9891,-81.2195,4029855,Christian,Kinsley,220.0,74.0,36.0,4.0,P,USA
73,Lexington,SC,33.9891,-81.2195,4577538,Brantley,Campbell,171.0,67.0,44.0,1.0,WR,USA
74,Lexington,SC,33.9891,-81.2195,4259476,Slade,Carroll,205.0,69.0,33.0,4.0,RB,USA
75,Norcross,GA,33.9379,-84.2065,4389869,Cole,Hanna,180.0,67.0,47.0,2.0,PK,USA
76,Fairburn,GA,33.5496,-84.5914,4259497,Jordan,Rhodes,325.0,76.0,76.0,3.0,OL,USA
77,Camden,SC,34.2565,-80.6087,4577539,Jayln,Dubose,197.0,74.0,43.0,1.0,DB,USA
78,Camden,SC,34.2565,-80.6087,-1031879,Jalyn,Dubose,197.0,74.0,43.0,,DB,USA
