,city,admin_name,lat,lng,id,first_name,last_name,weight,height,jersey,year,position,home_country,team,color,conference
82,Colleyville,TX,32.8913,-97.1486,4570683,Kam,Brown,180.0,72.0,18.0,1.0,WR,USA,Texas%20A%26M,#5C0025,SEC
83,Dyersburg,TN,36.0465,-89.3777,4430436,Chris,Russell,242.0,74.0,24.0,2.0,LB,USA,Texas%20A%26M,#5C0025,SEC
84,Dickinson,TX,29.4545,-95.0584,4428952,Jalen,Wydermyer,260.0,77.0,85.0,2.0,TE,USA,Texas%20A%26M,#5C0025,SEC
85,Prosper,TX,33.2394,-96.8088,4361533,Cade,Prendergast,190.0,75.0,30.0,3.0,DB,USA,Texas%20A%26M,#5C0025,SEC
86,Uvalde,TX,29.2153,-99.7782,4570696,McCrae,Rutledge,211.0,70.0,57.0,4.0,LB,USA,Texas%20A%26M,#5C0025,SEC
87,Stafford,TX,29.6271,-95.5653,4240902,Hezekiah,Jones,189.0,71.0,9.0,3.0,WR,USA,Texas%20A%26M,#5C0025,SEC
88,Katy,TX,29.7905,-95.8353,4372534,Seth,Small,205.0,71.0,47.0,3.0,PK,USA,Texas%20A%26M,#5C0025,SEC
89,Katy,TX,29.7905,-95.8353,4372545,Max,Wright,265.0,76.0,42.0,2.0,TE,USA,Texas%20A%26M,#5C0025,SEC
90,Katy,TX,29.7905,-95.8353,4240925,Camron,Horry,275.0,77.0,42.0,2.0,TE,USA,Texas%20A%26M,#5C0025,SEC
91,Mount Pleasant,TX,33.1613,-94.9717,4570698,Thomas,Spann,300.0,77.0,61.0,3.0,OL,USA,Texas%20A%26M,#5C0025,SEC
92,Humble,TX,29.9921,-95.2655,4426327,Kenyon,Green,325.0,76.0,55.0,2.0,OL,USA,Texas%20A%26M,#5C0025,SEC
93,Buford,GA,34.1187,-83.9915,4426847,Zach,Calzada,215.0,75.0,10.0,1.0,QB,USA,Texas%20A%26M,#5C0025,SEC
94,Sulphur Springs,TX,33.1421,-95.6124,3917319,Larry,Pryor,211.0,72.0,11.0,4.0,DB,USA,Texas%20A%26M,#5C0025,SEC
95,Dayton,TX,30.0293,-94.9039,4428168,R.J.,Orebo,265.0,79.0,41.0,1.0,DL,USA,Texas%20A%26M,#5C0025,SEC
96,Trophy Club,TX,33.0039,-97.1898,4035251,Kellen,Diesch,300.0,79.0,74.0,4.0,OL,USA,Texas%20A%26M,#5C0025,SEC
97,Athens,TX,32.2041,-95.8321,4035234,Travon,Fuller,180.0,73.0,28.0,4.0,DB,USA,Texas%20A%26M,#5C0025,SEC
98,Richmond,TX,29.5824,-95.7602,4426816,Erick,Young,205.0,73.0,13.0,2.0,DB,USA,Texas%20A%26M,#5C0025,SEC
99,Richmond,TX,29.5824,-95.7602,4361543,John,Locke,210.0,74.0,53.0,3.0,LB,USA,Texas%20A%26M,#5C0025,SEC
100,Loganville,GA,33.8353,-83.8957,4570702,Kenyon,Jackson,195.0,78.0,83.0,1.0,WR,USA,Texas%20A%26M,#5C0025,SEC
101,Tomball,TX,30.0964,-95.6186,4570700,Braeden,Kobza,272.0,71.0,63.0,1.0,OL,USA,Texas%20A%26M,#5C0025,SEC
102,Tomball,TX,30.0964,-95.6186,4051774,Sam,Stanley,245.0,74.0,45.0,4.0,FB,USA,Texas%20A%26M,#5C0025,SEC
103,Manvel,TX,29.4793,-95.3658,4372522,Jalen,Preston,212.0,74.0,5.0,2.0,WR,USA,Texas%20A%26M,#5C0025,SEC
104,Manvel,TX,29.4793,-95.3658,4240898,Derrick,Tucker,195.0,73.0,4.0,3.0,DB,USA,Texas%20A%26M,#5C0025,SEC
105,Manvel,TX,29.4793,-95.3658,4372524,Brian,Johnson,190.0,74.0,8.0,2.0,LB,USA,Texas%20A%26M,#5C0025,SEC
106,Manvel,TX,29.4793,-95.3658,4428368,Layden,Robinson,305.0,76.0,64.0,1.0,OL,USA,Texas%20A%26M,#5C0025,SEC
107,Carthage,TX,32.1526,-94.3368,4035250,Cagan,Baldree,242.0,76.0,43.0,4.0,FB,USA,Texas%20A%26M,#5C0025,SEC
108,Mineola,TX,32.6461,-95.4775,4035244,Riley,Anderson,290.0,77.0,51.0,4.0,OL,USA,Texas%20A%26M,#5C0025,SEC
109,Atlanta,TX,33.1136,-94.1672,4570687,Bladen,Reaves,196.0,70.0,35.0,1.0,RB,USA,Texas%20A%26M,#5C0025,SEC
