,city,admin_name,lat,lng,id,first_name,last_name,weight,height,jersey,year,position,home_country,team,color,conference
66,Schertz,TX,29.5648,-98.2537,4379395,Tommy,Bush,195.0,77.0,12.0,2.0,WR,USA,Georgia,#CC0000,SEC
67,Mableton,GA,33.8132,-84.5656,4035016,Julian,Rochester,300.0,77.0,5.0,4.0,DL,USA,Georgia,#CC0000,SEC
68,Milton,GA,34.1353,-84.3138,4361781,Patrick,Bond,180.0,70.0,37.0,2.0,WR,USA,Georgia,#CC0000,SEC
69,Merritt Island,FL,28.3146,-80.6713,4046334,Willie,Erdman,191.0,70.0,23.0,3.0,WR,USA,Georgia,#CC0000,SEC
70,Kennesaw,GA,34.0262,-84.6177,-1011540,Steven,Nixon,230.0,72.0,59.0,,LS,USA,Georgia,#CC0000,SEC
71,Kennesaw,GA,34.0262,-84.6177,4426421,Ryland,Goede,240.0,78.0,88.0,1.0,TE,USA,Georgia,#CC0000,SEC
72,Lebanon,TN,36.2039,-86.3475,4427826,Zion,Logue,295.0,77.0,96.0,1.0,DL,USA,Georgia,#CC0000,SEC
73,Douglasville,GA,33.7384,-84.7068,4035005,Brian,Herrien,210.0,72.0,35.0,4.0,RB,USA,Georgia,#CC0000,SEC
74,Milledgeville,GA,33.0874,-83.2414,4361790,Antonio,Poole,333.0,74.0,93.0,4.0,NT,USA,Georgia,#CC0000,SEC
75,Duluth,GA,34.0053,-84.1491,4379405,Jaylen,Johnson,192.0,74.0,81.0,2.0,WR,USA,Georgia,#CC0000,SEC
76,Horn Lake,MS,34.9512,-90.0501,4426340,Nakobe,Dean,220.0,72.0,17.0,2.0,LB,USA,Georgia,#CC0000,SEC
77,Madison,MS,32.4738,-90.13,4240694,D'Marcus,Hayes,315.0,77.0,78.0,4.0,OL,USA,Georgia,#CC0000,SEC
78,Griffin,GA,33.2418,-84.2747,4567961,DJ,Daniel,185.0,73.0,14.0,4.0,DB,USA,Georgia,#CC0000,SEC
