,city,admin_name,lat,lng,id,first_name,last_name,weight,height,jersey,year,position,home_country,team,color,conference
0,Dallas,TX,32.7936,-96.7662,4372000,John Stephen,Jones,199.0,71.0,9.0,1.0,QB,USA,Arkansas,#9c1831,SEC
1,Dallas,TX,32.7936,-96.7662,4567169,Cedric,Johnson,204.0,72.0,43.0,2.0,LB,USA,Arkansas,#9c1831,SEC
2,Dallas,TX,32.7936,-96.7662,4567158,Hudson,Clark,172.0,74.0,17.0,1.0,DB,USA,Arkansas,#9c1831,SEC
3,Houston,TX,29.7869,-95.3905,4047337,Rakeem,Boyd,215.0,72.0,5.0,4.0,RB,USA,Arkansas,#9c1831,SEC
4,Houston,TX,29.7869,-95.3905,4242881,Trelon,Smith,187.0,69.0,22.0,2.0,RB,USA,Arkansas,#9c1831,SEC
5,San Diego,CA,32.8312,-117.1225,4242154,Kamren,Curl,198.0,74.0,2.0,3.0,DB,USA,Arkansas,#9c1831,SEC
6,Austin,TX,30.3006,-97.7517,4372007,Nathan,Parodi,168.0,69.0,13.0,2.0,DB,USA,Arkansas,#9c1831,SEC
7,Austin,TX,30.3006,-97.7517,4393434,Peyton,Ausley,186.0,74.0,84.0,2.0,WR,USA,Arkansas,#9c1831,SEC
8,Austin,TX,30.3006,-97.7517,4567174,John,Oehrlein,220.0,73.0,53.0,1.0,LS,USA,Arkansas,#9c1831,SEC
9,Nashville,TN,36.1715,-86.7843,4567183,Brett,Nabors,182.0,75.0,80.0,1.0,WR,USA,Arkansas,#9c1831,SEC
10,Memphis,TN,35.1046,-89.9773,4567171,Eric,Gregory,270.0,76.0,50.0,1.0,DL,USA,Arkansas,#9c1831,SEC
11,Memphis,TN,35.1046,-89.9773,4567150,Shamar,Nash,209.0,75.0,4.0,1.0,WR,USA,Arkansas,#9c1831,SEC
12,Memphis,TN,35.1046,-89.9773,4242158,Chase,Hayden,205.0,70.0,2.0,3.0,RB,USA,Arkansas,#9c1831,SEC
13,Memphis,TN,35.1046,-89.9773,4372010,Ryan,Winkel,297.0,78.0,71.0,2.0,OL,USA,Arkansas,#9c1831,SEC
14,New Orleans,LA,30.0687,-89.9288,4371995,Joe,Foucha,201.0,71.0,7.0,3.0,DB,USA,Arkansas,#9c1831,SEC
15,New Orleans,LA,30.0687,-89.9288,4372006,Andrew,Parker,238.0,74.0,28.0,2.0,LB,USA,Arkansas,#9c1831,SEC
16,New Orleans,LA,30.0687,-89.9288,-1002099,Joe,Foucha,195.0,71.0,7.0,,DB,USA,Arkansas,#9c1831,SEC
17,New Orleans,LA,30.0687,-89.9288,4567159,Devin,Bush,208.0,72.0,23.0,1.0,DB,USA,Arkansas,#9c1831,SEC
18,Oklahoma City,OK,35.4676,-97.5137,4567154,Collin,Clay,296.0,75.0,93.0,2.0,DT,USA,Arkansas,#9c1831,SEC
19,Fort Worth,TX,32.7812,-97.3472,4567162,Jared,Sackett,180.0,73.0,29.0,3.0,PK,USA,Arkansas,#9c1831,SEC
20,El Paso,TX,31.8479,-106.4309,4567167,Karch,Gardiner,177.0,69.0,33.0,1.0,WR,USA,Arkansas,#9c1831,SEC
21,Tulsa,OK,36.1284,-95.9043,4567173,Ricky,Stromberg,298.0,76.0,51.0,2.0,OL,USA,Arkansas,#9c1831,SEC
22,Baton Rouge,LA,30.4419,-91.131,4567182,Dylan,Rathcke,281.0,77.0,79.0,1.0,OL,USA,Arkansas,#9c1831,SEC
23,Little Rock,AR,34.7255,-92.358,4567187,John David,White,171.0,71.0,86.0,1.0,WR,USA,Arkansas,#9c1831,SEC
24,Little Rock,AR,34.7255,-92.358,4372767,Luke,Jones,293.0,77.0,70.0,2.0,OL,USA,Arkansas,#9c1831,SEC
25,Little Rock,AR,34.7255,-92.358,4035576,T.J.,Hammonds,189.0,70.0,41.0,4.0,RB,USA,Arkansas,#9c1831,SEC
26,Little Rock,AR,34.7255,-92.358,4567176,Zach,Williams,236.0,76.0,56.0,2.0,DL,USA,Arkansas,#9c1831,SEC
27,Little Rock,AR,34.7255,-92.358,4242160,Hayden,Henry,229.0,74.0,27.0,4.0,LB,USA,Arkansas,#9c1831,SEC
28,Little Rock,AR,34.7255,-92.358,4567185,Hudson,Henry,250.0,77.0,82.0,1.0,TE,USA,Arkansas,#9c1831,SEC
29,Little Rock,AR,34.7255,-92.358,4276275,Brenden,Young,,73.0,37.0,,DB,USA,Arkansas,#9c1831,SEC
30,Little Rock,AR,34.7255,-92.358,4360170,Trey,Purifoy,246.0,79.0,40.0,4.0,TE,USA,Arkansas,#9c1831,SEC
31,Little Rock,AR,34.7255,-92.358,4242180,Brenden,Young,202.0,73.0,37.0,4.0,DB,USA,Arkansas,#9c1831,SEC
32,Little Rock,AR,34.7255,-92.358,4242163,Koilan,Jackson,215.0,74.0,3.0,3.0,WR,USA,Arkansas,#9c1831,SEC
33,Little Rock,AR,34.7255,-92.358,4242174,David,Porter,255.0,75.0,94.0,3.0,DL,USA,Arkansas,#9c1831,SEC
34,Augusta,GA,33.3645,-82.0708,4035598,Britto,Tutt,176.0,73.0,14.0,4.0,DB,USA,Arkansas,#9c1831,SEC
35,Fayetteville,AR,36.0713,-94.166,4035593,Cheyenne,O'Grady,256.0,76.0,85.0,4.0,TE,USA,Arkansas,#9c1831,SEC
36,Fayetteville,AR,36.0713,-94.166,4035574,Elias,Hale,245.0,76.0,92.0,4.0,DL,USA,Arkansas,#9c1831,SEC
37,Fayetteville,AR,36.0713,-94.166,4242151,Ty,Clary,298.0,76.0,66.0,4.0,OL,USA,Arkansas,#9c1831,SEC
38,Fayetteville,AR,36.0713,-94.166,4035588,Jack,Lindsey,214.0,74.0,21.0,4.0,QB,USA,Arkansas,#9c1831,SEC
39,Fayetteville,AR,36.0713,-94.166,-1002149,Cheyenne,O’Grady,256.0,76.0,85.0,,TE,USA,Arkansas,#9c1831,SEC
40,Waco,TX,31.5597,-97.1882,3916208,Ben,Hicks,217.0,73.0,6.0,4.0,QB,USA,Arkansas,#9c1831,SEC
41,Murfreesboro,TN,35.8493,-86.4117,4567151,Trey,Knox,203.0,77.0,7.0,2.0,WR,USA,Arkansas,#9c1831,SEC
42,Beaumont,TX,30.085,-94.1451,4035600,Devwah,Whaley,212.0,71.0,21.0,4.0,RB,USA,Arkansas,#9c1831,SEC
43,Tyler,TX,32.3184,-95.3065,4567175,Beaux,Limmer,297.0,77.0,55.0,1.0,OL,USA,Arkansas,#9c1831,SEC
44,Columbia,MO,38.9477,-92.3255,4035582,Hayden,Johnson,248.0,74.0,32.0,4.0,TE,USA,Arkansas,#9c1831,SEC
45,Monroe,LA,32.5183,-92.0775,4242178,De'Vion,Warren,182.0,70.0,10.0,4.0,WR,USA,Arkansas,#9c1831,SEC
46,Monroe,LA,32.5183,-92.0775,-1002174,De’Vion,Warren,188.0,70.0,1.0,,WR,USA,Arkansas,#9c1831,SEC
47,Allen,TX,33.1088,-96.6735,4035587,Connor,Limpert,175.0,73.0,19.0,4.0,PK,USA,Arkansas,#9c1831,SEC
48,Lake Worth,FL,26.6195,-80.0591,4242166,Jarques,McClellion,174.0,72.0,4.0,3.0,DB,USA,Arkansas,#9c1831,SEC
49,Decatur,GA,33.7711,-84.2968,4242175,Gabe,Richardson,240.0,75.0,6.0,4.0,DL,USA,Arkansas,#9c1831,SEC
50,Hyattsville,MD,38.9612,-76.9548,4567172,Chibueze,Nwanna,332.0,79.0,50.0,4.0,OL,USA,Arkansas,#9c1831,SEC
51,Florence,SC,34.1782,-79.7872,4371998,Dorian,Gerald,265.0,75.0,5.0,4.0,DL,USA,Arkansas,#9c1831,SEC
52,Texarkana,TX,33.4487,-94.0815,4035566,McTelvin,Agim,300.0,75.0,3.0,4.0,DL,USA,Arkansas,#9c1831,SEC
53,Springdale,AR,36.1898,-94.1573,4360167,Isaiah,Nichols,276.0,75.0,93.0,2.0,DL,USA,Arkansas,#9c1831,SEC
