,city,admin_name,lat,lng,id,first_name,last_name,weight,height,jersey,year,position,home_country,team,color,conference
58,Clearwater,FL,27.9788,-82.7624,4567414,Ethan,White,370.0,77.0,77.0,1.0,OL,USA,Florida,#0021A5,SEC
59,Miami Gardens,FL,25.9433,-80.2426,4567400,Nay'Quan,Wright,195.0,69.0,6.0,1.0,RB,USA,Florida,#0021A5,SEC
60,West Palm Beach,FL,26.7469,-80.1316,4521509,Da'Quan,Thomas,316.0,74.0,60.0,1.0,OL,USA,Florida,#0021A5,SEC
61,Germantown,MD,39.1755,-77.2643,4584516,Jack,Anders,200.0,74.0,18.0,1.0,WR,USA,Florida,#0021A5,SEC
62,Boca Raton,FL,26.3749,-80.1077,4360247,Dante,Lang,252.0,77.0,81.0,1.0,TE,USA,Florida,#0021A5,SEC
63,Plantation,FL,26.126,-80.2617,4360250,Andrew,Chatfield Jr.,243.0,72.0,90.0,1.0,LB,USA,Florida,#0021A5,SEC
64,Plantation,FL,26.126,-80.2617,4393474,Coleman,Crozier,218.0,71.0,57.0,1.0,DE,USA,Florida,#0021A5,SEC
65,Auburn,AL,32.6087,-85.4899,4567403,Mohamoud,Diabate,213.0,74.0,11.0,1.0,LB,USA,Florida,#0021A5,SEC
66,Mount Pleasant,SC,32.8533,-79.8269,4430299,Justin,Pelic,200.0,71.0,47.0,1.0,LB,USA,Florida,#0021A5,SEC
67,Hoover,AL,33.3754,-86.8065,4034959,Jeremiah,Moon,228.0,78.0,7.0,3.0,LB,USA,Florida,#0021A5,SEC
68,Melbourne,FL,28.1085,-80.6627,4043900,Tanner,Rowell,283.0,74.0,50.0,3.0,OL,USA,Florida,#0021A5,SEC
69,Daytona Beach,FL,29.1994,-81.0982,3915119,Jacob,Tilghman,214.0,74.0,49.0,4.0,LS,USA,Florida,#0021A5,SEC
70,Hanover,PA,39.8117,-76.9835,4360245,Christopher,Bleich,342.0,78.0,67.0,2.0,OL,USA,Florida,#0021A5,SEC
71,Alpharetta,GA,34.0703,-84.2738,4567406,Ty'Ron,Hopper,215.0,74.0,28.0,1.0,LB,USA,Florida,#0021A5,SEC
72,Shawnee,KS,39.0158,-94.8076,4360231,Lucas,Krull,260.0,78.0,7.0,4.0,TE,USA,Florida,#0021A5,SEC
73,Jupiter,FL,26.9199,-80.1128,4259441,Trey,Thompson,201.0,73.0,36.0,2.0,WR,USA,Florida,#0021A5,SEC
74,Port Orange,FL,29.1084,-81.0137,4259434,Joshua,Tse,184.0,67.0,27.0,2.0,WR,USA,Florida,#0021A5,SEC
75,Port Orange,FL,29.1084,-81.0137,4584519,Brayton,Hundley,180.0,72.0,32.0,4.0,WR,USA,Florida,#0021A5,SEC
76,Sebring,FL,27.477,-81.453,3915094,Luke,Ancrum,263.0,77.0,98.0,4.0,DL,USA,Florida,#0021A5,SEC
77,Marietta,GA,33.9532,-84.5422,3915123,Jabari,Zuniga,246.0,76.0,92.0,4.0,DL,USA,Florida,#0021A5,SEC
78,Dunwoody,GA,33.9418,-84.3122,3915096,Nick,Buchanan,283.0,75.0,66.0,4.0,OL,USA,Florida,#0021A5,SEC
79,Fort Pierce,FL,27.4256,-80.343,4360303,David,Reese,220.0,72.0,4.0,1.0,LB,USA,Florida,#0021A5,SEC
80,Fort Pierce,FL,27.4256,-80.343,4567408,Michael,Weir,180.0,69.0,39.0,3.0,DB,USA,Florida,#0021A5,SEC
81,Winter Garden,FL,28.5421,-81.5966,4034962,Stone,Forsythe,329.0,79.0,72.0,3.0,OL,USA,Florida,#0021A5,SEC
82,Brentwood,TN,35.9918,-86.7758,3930066,Van,Jefferson,197.0,74.0,12.0,4.0,WR,USA,Florida,#0021A5,SEC
83,Clinton,MD,38.7499,-76.9063,4567413,Will,Harrod,334.0,77.0,74.0,1.0,OL,USA,Florida,#0021A5,SEC
84,Meridian,MS,32.3846,-88.6897,4034954,Quincy,Lenton,205.0,71.0,14.0,3.0,DB,USA,Florida,#0021A5,SEC
85,Riviera Beach,FL,26.7812,-80.0741,4567399,Kaiir,Elam,187.0,74.0,5.0,1.0,DB,USA,Florida,#0021A5,SEC
86,Winter Park,FL,28.5987,-81.3438,4043893,Nick,Sproles,211.0,74.0,17.0,3.0,QB,USA,Florida,#0021A5,SEC
87,Lawrenceville,GA,33.9525,-83.9928,4567411,Jaelin,Humphries,320.0,76.0,66.0,1.0,DL,USA,Florida,#0021A5,SEC
88,Stockbridge,GA,33.5253,-84.2294,-1009614,Brenton,"Cox, Jr.",247.0,76.0,6.0,,LB,USA,Florida,#0021A5,SEC
89,Lutz,FL,28.1396,-82.4467,4259435,Patrick,Moorer,170.0,72.0,37.0,2.0,DB,USA,Florida,#0021A5,SEC
90,Libertyville,IL,42.287,-87.967,4240622,Jack,Ruskell,195.0,75.0,19.0,2.0,QB,USA,Florida,#0021A5,SEC
91,Longwood,FL,28.7014,-81.3487,3929896,Adam,Shuler,275.0,76.0,88.0,4.0,DL,USA,Florida,#0021A5,SEC
92,Buford,GA,34.1187,-83.9915,4567409,Riley,Simonds,303.0,76.0,64.0,1.0,OL,USA,Florida,#0021A5,SEC
93,Mount Dora,FL,28.8143,-81.6344,4034960,Brett,Heggie,330.0,76.0,61.0,3.0,OL,USA,Florida,#0021A5,SEC
94,Mount Dora,FL,28.8143,-81.6344,4567407,Jesiah,Pierre,225.0,74.0,32.0,1.0,LB,USA,Florida,#0021A5,SEC
95,Clewiston,FL,26.7529,-80.9399,4567416,Ja'Markis,Weston,217.0,75.0,82.0,1.0,WR,USA,Florida,#0021A5,SEC
96,Babylon,NY,40.6949,-73.327,4584517,Michael,Hart,230.0,72.0,26.0,2.0,WR,USA,Florida,#0021A5,SEC
97,Bainbridge,GA,30.9046,-84.5722,4360238,Dameon,Pierce,207.0,70.0,27.0,2.0,RB,USA,Florida,#0021A5,SEC
98,Farmington,MI,42.4614,-83.3784,4034956,David,Reese II,239.0,73.0,33.0,4.0,LB,USA,Florida,#0021A5,SEC
99,Farmington,MI,42.4614,-83.3784,-1009670,David,Reese II,239.0,73.0,33.0,,LB,USA,Florida,#0021A5,SEC
100,Manvel,TX,29.4793,-95.3658,4034946,Kyle,Trask,239.0,77.0,11.0,3.0,QB,USA,Florida,#0021A5,SEC
101,Mount Holly,NJ,39.995,-74.7863,4360236,Iverson,Clement,193.0,71.0,24.0,1.0,RB,USA,Florida,#0021A5,SEC
102,Indian Harbour Beach,FL,28.1529,-80.5976,4259433,Erik,Askeland,190.0,72.0,25.0,2.0,WR,USA,Florida,#0021A5,SEC
103,Hampton,GA,33.3835,-84.2854,4360235,Trey,Dean III,194.0,75.0,21.0,2.0,DB,USA,Florida,#0021A5,SEC
104,Fort Payne,AL,34.4558,-85.6966,4360234,Evan,McPherson,177.0,71.0,19.0,2.0,PK,USA,Florida,#0021A5,SEC
105,Newberry,FL,29.6351,-82.6047,4043892,Nick,Oelrich,198.0,73.0,38.0,3.0,DB,USA,Florida,#0021A5,SEC
