,city,admin_name,lat,lng,name,height,weight,position,team
76,"Canton, MS",MS,32.5976,-90.0315,"Lewis, Damien",6-3,326,OL,lsu
77,"Thibodaux, LA",LA,29.7941,-90.8163,"Benfield, Aaron",6-2,230,LB,lsu
78,"Thibodaux, LA",LA,29.7941,-90.8163,"McGoey, Thomas",6-2,197,WR,lsu
79,"Saraland, AL",AL,30.8457,-88.099,"Flott, Cordale",6-2,160,DB,lsu
80,"River Ridge, LA",LA,29.9593,-90.2202,"Francioni, Evan",6-0,194,WR,lsu
81,"Bastrop, LA",LA,32.7749,-91.9058,"Moore, Travez",6-4,250,DL,lsu
82,"Broussard, LA",LA,30.1393,-91.9539,"Norman, Corren",5-9,191,RB,lsu
83,"Destrehan, LA",LA,29.9625,-90.3676,"Emery Jr., John",6-0,203,RB,lsu
84,"Destrehan, LA",LA,29.9625,-90.3676,"Jefferson, Justin",6-2,185,WR,lsu
85,"Destrehan, LA",LA,29.9625,-90.3676,"Logan, Glen",6-4,284,DL,lsu
86,"Gonzales, LA",LA,30.2132,-90.9234,"Wire, Cameron",6-7,294,OL,lsu
87,"Covington, LA",LA,30.4808,-90.1122,"Mashburn, Jack",6-3,208,TE,lsu
88,"Bay Minette, AL",AL,30.893,-87.7912,"Savage, Jakori",6-5,289,DL,lsu
89,"Ponchatoula, LA",LA,30.4403,-90.4428,"Campbell, Donavaughn",6-5,349,OL,lsu
90,"Plaquemine, LA",LA,30.2834,-91.2429,"Harris Jr., Todd",6-0,188,DB,lsu
91,"Plaquemine, LA",LA,30.2834,-91.2429,"Jenkins III, Nelson",6-4,297,DL,lsu
92,"Patterson, LA",LA,29.6909,-91.3096,"Harden, Austin",6-3,227,OL,lsu
93,"Ferriday, LA",LA,31.6343,-91.5562,"Rosenthal, Dare",6-8,335,OL,lsu
94,"Pontotoc, MS",MS,34.2532,-89.0091,"Stafford, Preston",6-0,187,K,lsu
95,"Spanish Fort, AL",AL,30.7257,-87.8601,"Thomas, Justin",6-5,264,DL,lsu
